MNP Estadística de Nacimientos
Fenómenos demográficos
Fenómenos demográficos por tipo de fenómeno demográfico
Unidades: Defunciones
,Defunción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
MNP Estadística de Defunciones,331515,339661,338242,346227,351449,349521,360511,371102,360391,360131,368618,384828,371934,387355,371478,385361,386324,384933,382047,387911,402950,390419,395830,422568,410611,424523,427721,"",493776,450744,
MNP Estadística de Matrimonios,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
MNP Estadística de Nacimientos,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
Notas:
Fuente: Instituto Nacional de Estadística
