1946,50276
1947,51384
1948,49679
1949,49497
1950,47372
1951,49952
1952,47624
1953,49684
1954,49113
1955,50366
1956,51573
1957,51066
1958,49281
1959,50077
1960,52094
1961,51004
1962,55125
1963,56989
1964,53609
1965,55547
1966,55804
1967,55142
1968,57374
1969,58002
1970,57091
1971,57856
1972,56489
1973,56990
1974,56403
1975,55924
1976,57095
1977,55658
1978,57718
1979,57454
1980,59097
1981,59763
1982,59204
1983,60756
1984,58602
1985,59583
1986,60105
1987,59511
1988,60648
1989,60882
1990,63739
1991,62634
1992,62302
1993,62512
1994,61987
1995,63387
1996,62637
1997,62839
1998,62569
1999,62503
2000,62528
2001,61228
2002,61768
2003,63070
2004,60180
2005,61124
2006,60283
2007,61089
2008,61233
2009,62476
2010,62649
2011,62091
2012,64173
2013,64961
2014,63938
2015,67606
2016,64964
2017,66971
2018,67088
2019,67780
2020,76195
2021,71192
2022,74425
