Série évolutive des décès par mois, selon différentes sources, population totale*,,,,,,,,,,,,,,,
ANNEES,,Janvier*,Février*,Mars*,Avril*,Mai*,Juin*,Juillet*,Août*,Septembre*,Octobre*,Novembre*,Décembre*,,TOTAL*
1915,,-,-,-,-,-,-,-,-,-,-,-,-,,100674
1916,,-,-,-,-,-,-,-,-,-,-,-,-,,101044
1917,,-,-,-,-,-,-,-,-,-,-,-,-,,124824
1918,,-,-,-,-,-,-,-,-,-,-,-,-,,157340
1919,,12484,15369,13333,10358,8759,7376,7105,6857,6918,8068,8409,8696,,112986
1920,,9468,10030,10392,8437,8246,7559,7315,7490,6802,7527,9521,9718,,102706
1921,,8865,8662,9244,8371,8123,6818,7349,8149,8230,9378,8947,10617,,100468
1922,,15142,11736,9428,9531,9299,7209,7007,6615,6404,7520,8272,8452,,104155
1923,,9470,9881,10285,8446,8111,7481,7879,7110,7194,7282,7715,9230,,99113
1924,,9712,9992,11127,9081,8280,7121,6942,6725,6741,7313,7887,8732,,98332
1925,,9073,8556,10393,9641,8700,7700,7523,7230,7230,7924,8185,10034,,99569
1926,,9518,8688,10657,10085,8773,7645,7414,7098,7355,8068,8239,11202,,101018
1927,,13801,9786,9737,8681,8831,7762,7193,7021,6883,8063,8002,10991,,103007
1928,,10443,9300,11873,9798,9074,7875,7710,7439,7373,8390,7696,8944,,102270
1929,,11146,16766,15556,10564,10084,7922,8182,7428,7623,8382,8425,8704,,115901
1930,,9701,9848,11012,9890,8880,8184,7737,7912,7160,8379,8347,10418,,103397
1931,,11928,11014,10833,9624,9010,7877,7679,7346,7444,8083,8188,8991,,103773
1932,,9490,10995,13625,9914,9225,7954,7181,7925,7282,7957,7910,8768,,104221
1933,,10423,12633,10311,8944,8525,7526,7541,7258,7187,7835,8815,11379,,104640
1934,,10629,8950,9859,9322,8625,7868,7196,7085,7055,7515,8060,8567,,96851
1935,,9665,10489,11839,9295,9110,8061,7723,7342,7019,7982,8092,9609,,102132
1936,,9504,9496,10756,9750,9391,8506,7458,7337,7390,8981,8122,9499,,101595
1937,,10392,9933,10748,9508,9182,8071,8049,7771,7520,8616,8921,10429,,104163
1938,,11407,9105,10283,9466,9977,8841,8124,8093,7904,7946,8476,10009,,104684
1939,,10720,13199,14065,10291,9368,8493,7839,7598,7210,8620,8467,9716,,110393
1940,,14563,12712,10779,9633,23036,11507,8602,8019,7914,8228,8582,10143,,125083
1941,,12402,11025,12459,11030,10805,9086,8447,7932,8351,8886,10229,10482,,118670
1942,,15081,13906,12136,10291,10170,8621,7845,7753,7237,8597,9158,10479,,117291
1943,,11595,9385,11013,10538,8990,7351,7551,7342,8029,8527,8909,11668,,107767
1944,,12587,11173,13091,11334,12314,8127,7775,8435,12966,10566,10445,12375,,124861
1945,,15858,11933,11531,9861,10006,8531,8269,8164,7611,8825,9140,13118,,121155
1946,,13678,10297,11361,9523,8749,7843,8042,7381,7512,8327,9083,10609,,110413
1947,,11542,12732,11805,8964,8717,8344,7594,7426,7428,8429,8532,9377,,108136
1948,,9625,9398,10243,8828,8317,7882,8354,7495,7872,8551,9190,10875,,103576
1949,,12955,10716,10553,8794,8653,8159,7763,7545,7543,8154,9163,9621,,106704
1950,,10143,9817,9762,8905,9019,8160,7518,7730,7592,8693,9100,10441,,104039
1951,,15399,9714,9836,8913,8531,7778,7503,7250,7081,8796,8279,9275,,107688
1952,,9814,9882,9999,8805,7987,7398,7488,6968,7237,8468,8350,10358,,103624
1953,,10538,9919,11526,8982,8386,7761,7382,7283,7208,8129,8429,9118,,106024
1954,,10494,10372,9748,8882,9314,7659,7614,7513,7455,8224,8594,9164,,104795
1955,,10555,9492,13213,9676,8486,7938,7637,7478,7304,8387,8596,9981,,108316
1956,,10062,10542,11002,9404,8867,8044,8042,7863,7880,8369,9024,9662,,108016
1957,,9759,8408,9596,8629,8547,8088,7979,7362,8129,11235,8950,11158,,107236
1958,,10333,9209,11016,9945,8469,7828,7674,7562,7208,8494,8775,9538,,105746
1959,,9733,9980,9740,8934,8281,7909,7829,7406,7438,8414,8797,9472,,103513
1960,,10761,15425,10511,8946,8723,7989,8060,7816,7938,9146,8675,9948,,113106
1961,,10424,8803,9345,8728,8735,8369,8108,8205,7782,8651,9403,10432,,106259
1962,,10770,9065,11272,10041,9222,8562,8486,7981,8227,8831,9440,10861,,111545
1963,,11618,11214,13330,9466,9286,8387,8277,8178,8159,8965,9040,10798,,115618
1964,,10601,9408,9795,9078,8849,8258,8745,8295,8106,9449,9421,10095,,109342
1965,,10321,9415,11553,9764,9291,8820,8821,8540,8757,9484,9871,10408,,114507
1966,,11290,9594,10613,10307,9146,8721,8724,8699,8735,9355,10059,10370,,114557
1967,,10399,8921,9910,9831,9834,8839,9093,8720,9156,9502,9874,11139,,114509
1968,,12030,13142,11156,9718,9395,8896,8975,8725,8729,9604,10053,11321,,121275
1969,,10965,10341,11616,9871,9353,8914,9147,8784,8875,9653,9770,13182,,119375
1970,,14123,9589,10183,9249,9593,9094,9008,8916,8865,9786,9745,10509,,119623
1971,,11487,9361,10719,9901,9771,9073,9479,8853,9076,8899,10079,11773,,118853
1972,,11767,10118,10369,9201,9861,9190,8960,8898,9142,9986,9553,10399,,116743
1973,,13517,10061,10244,9662,9423,9151,9063,8981,8462,9924,9429,10337,,118313
1974,,10482,9350,10951,9609,9468,8797,9038,9038,9093,10127,9876,10330,,116039
1975,,11970,10359,10704,9975,9482,9320,9222,9909,9055,9678,9383,10368,,119273
1976,,10481,12039,11180,9693,9532,9569,9767,8868,8640,9252,9283,10337,,118765
1977,,10451,8914,9792,9790,9521,8685,8860,8725,8974,9183,10403,10451,,112208
1978,,10670,11790,10441,9111,9269,8857,9165,8446,8527,9520,9070,10522,,115060
1979,,10506,9206,9927,9263,9455,8864,8848,8661,8578,9521,9503,9678,,112156
1980,,10472,9286,9908,9366,9755,8818,9247,8817,8474,9690,9764,10102,,114364
1981,,10238,9600,10070,9308,9429,8612,8907,8714,8416,9505,9396,10131,,113308
1982,,10564,8886,9858,9491,9394,8735,9199,8652,8561,9161,9089,10281,,112506
1983,,10741,10418,10426,9107,9452,8801,9508,8637,8856,9244,9328,10016,,114814
1984,,10006,9194,10525,10108,9101,8734,8790,8342,8484,9203,8883,9317,,110577
1985,,11212,9719,10262,9172,9152,8438,8606,8291,8212,9030,9651,9867,,112691
1986,,11275,11794,11037,8980,8672,8507,8249,8097,8399,8595,8486,9252,,111671
1987,,10112,8569,9202,8719,8707,8263,8145,8304,7827,8927,8918,9733,,105840
1988,,9307,8428,9420,8847,8828,8089,8211,8442,8067,8689,8751,9498,,104551
1989,,9230,8672,9150,8281,8913,8091,8328,8159,7941,8516,8736,13319,,107332
1990,,10308,8504,8944,8560,8535,8209,8183,8420,7918,8680,8597,9272,,104545
1991,,9394,9451,9252,8608,8505,8053,8370,7936,7753,8507,8708,9612,,104223
1992,,9846,9383,8801,8734,8648,8088,8303,8025,8039,8721,8439,8831,,103858
1993,,9836,8525,10274,9385,8577,8038,8319,7772,8095,8523,8934,10437,,106715
1994,,9868,8578,8947,8508,8256,8471,9247,8266,8152,8575,7994,8826,,103688
1995,,9491,8140,9860,9062,8756,8306,8545,8195,7752,8448,8293,9862,,104710
1996,,11031,9548,9458,8849,8562,7945,8125,7616,7716,8126,8153,9099,,104228
1997,,12407,9113,8712,8134,8266,7920,8046,8148,7611,8427,8475,8563,,103822
1998,,8997,8860,10490,9368,8600,8032,7895,7963,7959,8477,8383,9583,,104607
1999,,9489,9172,9996,8511,8377,7906,8326,8272,7739,8634,8437,10074,,104933
2000,,12010,9172,8789,8418,8248,8197,8240,8255,7735,8367,8627,8863,,104921
2001,,10108,8465,9116,8564,8874,8302,8303,8280,7740,7975,8269,9478,,103474
2002,,11106,8965,9173,8740,8462,8080,8411,8292,7810,8616,8317,9695,,105667
2003,,9913,8915,9456,9114,8475,8235,8388,8628,8222,8650,8627,10445,,107068
2004,,10358,8589,8894,8329,8103,7924,8122,7838,7736,8407,8211,9453,,101964
2005,,10042,9413,10409,8468,8465,8104,7629,7515,7514,8294,8068,9384,,103305
2006,,9707,8585,9476,8320,8214,8063,9114,7709,7682,8016,8008,8720,,101614
2007,,9500,9121,9036,8485,7966,7779,7847,7619,7674,8350,8850,9833,,102060
2008,,10235,8860,9469,9163,8556,7909,8119,7849,7684,8486,8557,9700,,104587
2009,,11188,9699,8986,8348,8026,8057,8089,7870,7744,8672,8462,9368,,104509
2010,,10125,8869,9282,8326,8552,8277,8537,8029,8113,8568,8447,9969,,105094
2011,,9815,8342,9115,8432,8453,8291,8127,8167,8079,8673,8763,9990,,104247
2012,,9942,10816,10489,8939,8891,8189,8229,8158,7905,8945,8831,9700,,109034
2013,,10354,9903,10699,9763,8797,8615,8460,8056,8026,8676,8505,9441,,109295
2014,,9576,8804,9347,8625,8633,8065,8650,7976,7954,8531,8558,10004,,104723
2015,,11269,11052,10475,9143,8743,8306,8455,8285,8049,9074,8443,9214,,110508
2016,,9911,8995,10170,8979,8852,8007,8586,8485,7983,8868,9087,10133,,108056
