Albania,21871,30580,8709,39.82,12,M
Antigua i Barbuda,600,649,49,8.17,12,M
Armenia,25949,34638,8689,33.48,12,M
Aruba,691,964,273,39.51,12,M
Australia,161722,170960,9238,5.71,52,T
Austria,81774,89538,7764,9.49,52,T
Azerbejdżan,56849,76878,20029,35.23,12,M
Barbados,2045,2000,-45,-2.20,9,M
Białoruś,32178,39717,7539,23.43,3,M
Belgia,109389,111956,2567,2.35,52,T
Belize,1955,2489,534,27.31,12,M
Bermudy,534,727,193,36.14,12,M
Boliwia,51784,84301,32517,62.79,12,M
Bośnia i Hercegowina,36718,48503,11785,32.10,12,M
Brazylia,1333261,1855622,522361,39.18,12,M
Bułgaria,108010,148638,40628,37.62,52,T
Kanada,284590,307225,22635,7.95,52,T
Chile,107903,137085,29182,27.04,52,T
Kolumbia,237808,360785,122977,51.71,52,T
Kostaryka,24027,31081,7054,29.36,12,M
Chorwacja,52087,62642,10555,20.26,52,T
Kuba,107643,167645,60002,55.74,12,M
Cypr,6008,7078,1070,17.81,52,T
Czechy,112322,139160,26838,23.89,52,T
Dania,54441,57038,2597,4.77,52,T
Dominika,36168,40902,4734,13.09,10,M
Ekwador,72624,104841,32217,44.36,52,T
Egipt,565170,732086,166916,29.53,12,M
Estonia,15508,18721,3213,20.72,52,T
Wyspy Owcze,403,428,25,6.20,12,M
Finlandia,54095,57580,3485,6.44,52,T
Francja,596473,641759,45286,7.59,52,T
Gujana Francuska,938,1350,412,43.92,52,T
Polinezja Francuska,1590,2274,684,43.02,12,M
Gruzja,46592,59906,13314,28.58,12,M
Niemcy,944534,1019027,74493,7.89,52,T
Gibraltar,38,89,51,134.21,1,M
Grecja,122245,143586,21341,17.46,52,T
Grenlandia,518,531,13,2.51,12,M
Gwadelupa,3294,4515,1221,37.07,52,T
Gwatemala,83282,118161,34879,41.88,52,T
Hongkong,48179,51168,2989,6.20,12,M
Węgry,129945,155032,25087,19.31,52,T
Islandia,2254,2333,79,3.50,52,T
Iran,378195,529735,151540,40.07,52,T
Irlandia,31205,34354,3149,10.09,12,M
Izrael,45105,50633,5528,12.26,52,T
Włochy,640924,706210,65286,10.19,52,T
Jamajka,17128,22843,5715,33.37,11,M
Japonia,1375123,1452289,77166,5.61,12,M
Jordania,28044,39333,11289,40.25,12,M
Kazachstan,132002,183357,51355,38.90,12,M
Kosowo,9214,13019,3805,41.30,12,M
Kirgistan,33142,39193,6051,18.26,12,M
Łotwa,28188,34471,6283,22.29,52,T
Liban,25023,36950,11927,47.66,12,M
Liechtenstein,269,268,-1,-0.37,12,M
Litwa,38818,47463,8645,22.27,52,T
Luksemburg,4294,4467,173,4.03,52,T
Makao,2176,2320,144,6.62,12,M
Malezja,172889,215299,42410,24.53,12,M
Malta,3678,4132,454,12.34,52,T
Martynika,3407,4613,1206,35.40,52,T
Mauritius,10981,13274,2293,20.88,12,M
Majotta,732,1093,361,49.32,52,T
Meksyk,724719,1088556,363837,50.20,52,T
Mołdowa,36985,45386,8401,22.71,12,M
Monako,525,593,68,12.95,12,M
Mongolia,17268,19929,2661,15.41,12,M
Czarnogóra,5492,7672,2180,39.69,44,T
Holandia,152267,170051,17784,11.68,52,T
Nowa Kaledonia,1592,1983,391,24.56,12,M
Nowa Zelandia,33571,34792,1221,3.64,52,T
Macedonia Północna,20070,28542,8472,42.21,12,M
Norwegia,40581,41892,1311,3.23,52,T
Oman,8780,12649,3869,44.07,12,M
Panama,16682,22261,5579,33.44,10,M
Paragwaj,33068,53591,20523,62.06,12,M
Peru,154218,263451,109233,70.83,52,T
Filipiny,605562,879429,273867,45.23,12,M
Polska,409468,518700,109232,26.68,52,T
Portugalia,112083,124559,12476,11.13,52,T
Portoryko,29100,32977,3877,13.32,52,T
Katar,2293,2774,481,20.98,12,M
Reunion,5059,5786,727,14.37,52,T
Rumunia,260967,333028,72061,27.61,52,T
Rosja,1813609,2445509,631900,34.84,12,M
Saint Vincent i Grenadyny,994,1184,190,19.11,12,M
San Marino,248,312,64,25.81,12,M
Serbia,101557,136622,35065,34.53,12,M
Seszele,807,925,118,14.62,12,M
Singapur,21364,24292,2928,13.71,12,M
Słowacja,53626,72520,18894,35.23,52,T
Słowenia,20488,23088,2600,12.69,52,T
Afryka Południowa,526223,706615,180392,34.28,52,T
Korea Południowa,296055,316897,20842,7.04,52,T
Hiszpania,419454,447878,28424,6.78,52,T
Szwecja,90238,91516,1278,1.42,52,T
Szwajcaria,67202,70627,3425,5.10,52,T
Tajwan,174540,183732,9192,5.27,12,M
Tajlandia,489876,563650,73774,15.06,12,M
Naddniestrze,6769,8980,2211,32.66,12,M
Tunezja,69212,96514,27302,39.45,12,M
Ukraina,584390,714263,129873,22.22,12,M
Wielka Brytania,606921,665663,58742,9.68,52,T
Stany Zjednoczone,2845854,3457859,612005,21.51,52,T
Urugwaj,34468,40599,6131,17.79,12,M
Uzbekistan,154742,174540,19798,12.79,12,M
