Alaska,126670.83,366,R
Alabama,90541.67,366,R
Arkansas,97425.00,366,R
Arizona,97741.67,366,R
California,157329.17,366,D
Colorado,121954.17,366,D
Connecticut,155937.50,366,D
Washington DC,149141.67,366,
Delaware,152100.00,366,D
Florida,121900.00,366,R
Georgia,107437.50,366,R
Hawaii,175729.17,366,D
Iowa,69541.67,366,R
Idaho,107183.33,366,R
Illinois,129066.67,366,D
Indiana,109575.00,366,R
Kansas,110983.33,366,D
Kentucky,141675.00,366,D
Louisiana,123854.17,366,D
Massachusetts,152241.67,366,R
Maryland,148570.83,366,R
Maine,162891.67,366,D
Michigan,138583.33,366,D
Minnesota,129537.50,366,D
Missouri,100500.00,366,R
Mississippi,103054.17,366,R
Montana,114129.17,366,R
North Carolina,148354.17,366,D
North Dakota,69970.83,366,R
Nebraska,106075.00,366,R
New Hampshire,108683.33,366,R
New Jersey,130208.33,366,D
New Mexico,180341.67,366,D
Nevada,123425.00,366,D
New York,181979.17,366,D
Ohio,145037.50,366,R
Oklahoma,76333.33,366,R
Oregon,130087.50,366,D
Pennsylvania,131291.67,366,D
Rhode Island,167225.00,366,D
South Carolina,98008.33,366,R
South Dakota,44970.83,366,R
Tennessee,110820.83,366,R
Texas,128254.17,366,R
Utah,87212.50,366,R
Virginia,117616.67,366,D
Vermont,144033.33,366,R
Washington,142295.83,366,D
Wisconsin,102120.83,366,D
West Virginia,116000.00,366,R
Wyoming,116000.00,366,R
