Alaska,111450.00,365,R
Alabama,40429.17,365,R
Arkansas,57520.83,365,R
Arizona,45183.33,365,R
California,128658.33,365,D
Colorado,81291.67,365,D
Connecticut,92075.00,365,D
Washington DC,105083.33,365,
Delaware,91033.33,365,D
Florida,43366.67,365,R
Georgia,63920.83,365,R
Hawaii,179133.33,365,D
Iowa,33966.67,365,R
Idaho,51425.00,365,R
Illinois,82079.17,365,D
Indiana,66312.50,365,R
Kansas,86250.00,365,D
Kentucky,83225.00,365,D
Louisiana,134066.67,365,D
Massachusetts,110766.67,365,R
Maryland,73550.00,365,R
Maine,78808.33,365,D
Michigan,77495.83,365,D
Minnesota,71637.50,365,D
Missouri,62266.67,365,R
Mississippi,48275.00,365,R
Montana,50841.67,365,R
North Carolina,93625.00,365,D
North Dakota,50550.00,365,R
Nebraska,37175.00,365,R
New Hampshire,71520.83,365,R
New Jersey,77450.00,365,D
New Mexico,96958.33,365,D
Nevada,69425.00,365,D
New York,120537.50,365,D
Ohio,64095.83,365,R
Oklahoma,85383.33,365,R
Oregon,89391.67,365,D
Pennsylvania,62925.00,365,D
Rhode Island,108070.83,365,D
South Carolina,54975.00,365,R
South Dakota,22333.33,365,R
Tennessee,51687.50,365,R
Texas,84920.83,365,R
Utah,42125.00,365,R
Virginia,74983.33,365,D
Vermont,88900.00,365,R
Washington,127000.00,365,D
Wisconsin,87537.50,365,D
West Virginia,61158.33,365,R
Wyoming,61158.33,365,R
