1953	53
1954	51
1955	55
1956	61
1957	47
1958	55
1959	57
1960	73
1961	61
1962	72
1963	75
1964	77
1965	75
1966	88
1967	93
1968	96
1969	113
1970	102
1971	91
1972	110
1973	132
1974	116
1975	88
1976	143
1977	122
1978	140
1979	110
1980	153
1981	156
1982	127
1983	157
1984	164
1985	165
1986	179
1987	176
1988	206
1989	209
1990	191
1991	217
1992	219
1993	211
1994	184
1995	219
1996	197
1997	197
1998	235
1999	207
2000	227
2001	215
2002	218
2003	221
2004	281
2005	276
2006	260
2007	230
2008	237
2009	272
2010	239
2011	275
2012	303
2013	239
2014	276
2015	282
2016	310
2017	323
2018	334
2019	301
2020	419
2021	386
2022	371
