IDIndikator;Indikator;God+Mes;nVrTacka;IDTer;nTer;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
180304IND04;Deaths;201200;2012;RS;REPUBLIC OF SERBIA;102400;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;201300;2013;RS;REPUBLIC OF SERBIA;100300;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;201400;2014;RS;REPUBLIC OF SERBIA;101247;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;201500;2015;RS;REPUBLIC OF SERBIA;103678;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;201600;2016;RS;REPUBLIC OF SERBIA;100834;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;201700;2017;RS;REPUBLIC OF SERBIA;103722;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;201800;2018;RS;REPUBLIC OF SERBIA;101655;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;201900;2019;RS;REPUBLIC OF SERBIA;101458;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;202000;2020;RS;REPUBLIC OF SERBIA;116850;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;202100;2021;RS;REPUBLIC OF SERBIA;136622;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;202200;2022;RS;REPUBLIC OF SERBIA;109203;A;Normal value;F;Free (free for publication);NR;number
