DATAFLOW,CSE_RATE: Rate,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2016-A1,7.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2017-A1,7.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2018-A1,7.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2019-A1,7.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2020-A1,7.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1980-A1,2.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1981-A1,1.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1982-A1,2.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1983-A1,2.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1984-A1,2.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1985-A1,2.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1986-A1,1.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1987-A1,2.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),TFR: Total Fertility Rate,A: Annual,1988-A1,2.1,,
