1971-06,42310,
1971-07,45569,
1971-08,40991,
1971-09,40482,
1971-10,44621,
1971-11,45538,
1971-12,51123,554151
1972-01,54956,
1972-02,47599,
1972-03,48118,
1972-04,44008,
1972-05,44972,
1972-06,42404,
1972-07,43464,
1972-08,41689,
1972-09,41617,
1972-10,45828,
1972-11,44159,
1972-12,51086,549900
1973-01,64762,
1973-02,46668,
1973-03,48974,
1973-04,45607,
1973-05,44328,
1973-06,41801,
1973-07,42236,
1973-08,43518,
1973-09,40570,
1973-10,46284,
1973-11,45080,
1973-12,48954,558782
1974-01,48177,
1974-02,42131,
1974-03,49355,
1974-04,45316,
1974-05,46133,
1974-06,42626,
1974-07,43058,
1974-08,42266,
1974-09,41559,
1974-10,48213,
1974-11,46986,
1974-12,56731,552551
1975-01,55805,
1975-02,44628,
1975-03,49246,
1975-04,47957,
1975-05,46400,
1975-06,43697,
1975-07,44704,
1975-08,45287,
1975-09,42164,
1975-10,46640,
1975-11,44745,
1975-12,49080,560353
1976-01,49611,
1976-02,50172,
1976-03,55206,
1976-04,47105,
1976-05,45605,
1976-06,45449,
1976-07,45983,
1976-08,41587,
1976-09,40928,
1976-10,43403,
1976-11,44149,
1976-12,47916,557114
1977-01,49306,
1977-02,43491,
1977-03,48498,
1977-04,46991,
1977-05,44659,
1977-06,41209,
1977-07,42834,
1977-08,41370,
1977-09,41290,
1977-10,43629,
1977-11,43932,
1977-12,49012,536221
1978-01,50820,
1978-02,52291,
1978-03,49283,
1978-04,45103,
1978-05,44974,
1978-06,41509,
1978-07,44099,
1978-08,40427,
1978-09,39842,
1978-10,45078,
1978-11,44122,
1978-12,49368,546916
1979-01,50317,
1979-02,43825,
1979-03,48683,
1979-04,46123,
1979-05,46375,
1979-06,41870,
1979-07,44242,
1979-08,41213,
1979-09,41059,
1979-10,45289,
1979-11,45464,
1979-12,47345,541805
1980-01,51015,
1980-02,44590,
1980-03,47306,
1980-04,45852,
1980-05,45611,
1980-06,42621,
1980-07,44616,
1980-08,42166,
1980-09,40520,
1980-10,45835,
1980-11,47016,
1980-12,49959,547107
1981-01,55289,
1981-02,50153,
1981-03,50199,
1981-04,44564,
1981-05,46040,
1981-06,42658,
1981-07,43935,
1981-08,41958,
1981-09,40219,
1981-10,45618,
1981-11,45182,
1981-12,49008,554823
1982-01,49581,
1982-02,43950,
1982-03,48016,
1982-04,46145,
1982-05,45757,
1982-06,41919,
1982-07,46326,
1982-08,41874,
1982-09,41276,
1982-10,45073,
1982-11,44347,
1982-12,48840,543104
1983-01,50526,
1983-02,49778,
1983-03,51319,
1983-04,46372,
1983-05,45008,
1983-06,43395,
1983-07,49570,
1983-08,42000,
1983-09,41446,
1983-10,44655,
1983-11,45808,
1983-12,49778,559655
1984-01,48740,
1984-02,45110,
1984-03,49926,
1984-04,46998,
1984-05,45498,
1984-06,43830,
1984-07,43445,
1984-08,41457,
1984-09,40656,
1984-10,45437,
