Deaths by sex, month and year,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sex,month,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
total,January,8362,8723,8718,7947,8128,9216,8697,8992,8231,9283,8741,8981,9142,8782,9188,8324,10132,9383,8079,8613
total,February,7641,7851,7018,7713,7351,8662,8183,7478,7682,7000,7559,7429,8391,7626,7278,7385,8154,8187,7860,8434
total,March,8040,8440,7714,9054,8027,8618,8567,8212,8293,7651,8421,8003,8328,9098,7743,8086,7993,8039,8629,9070
total,April,7496,7451,7451,7409,7788,7393,7805,7655,8217,7441,7976,7929,7749,7866,7188,8144,7425,7525,7984,7492
total,May,7587,7398,7758,7330,7642,7783,7420,7852,8060,7604,7926,7969,7516,7511,7428,7790,7534,7605,7420,7529
total,June,7317,7063,7349,7151,7067,7286,7456,7552,7472,7526,7421,7645,7537,7268,7079,7341,7158,7288,7006,6931
total,July,7564,7295,7760,7527,7241,7110,7242,7629,7476,7549,7696,8006,7603,7500,7707,7446,7276,7367,7381,7390
total,August,7185,7194,7172,6978,7148,7241,7226,7460,7744,7129,7499,7529,7219,7267,7162,7266,7159,7345,7357,7507
total,September,7159,6987,7036,6888,7163,7181,7345,7294,7217,7032,7367,7622,7250,7308,7654,7335,7136,7296,6982,7200
total,October,7511,7358,7310,7371,7535,7377,7489,7338,7755,7691,7587,7463,7708,7539,7509,7517,7511,7618,7637,7605
total,November,7351,7470,7312,7207,7275,7701,7288,7444,7893,7450,7878,7866,7731,7892,7514,7708,7541,7185,7846,7624
total,December,8527,8725,8002,8144,8030,8379,8480,8249,10552,8602,8894,8552,8289,11057,8071,9238,8754,8059,8730,8953
total,Unknown,60,79,71,72,88,85,97,152,151,152,196,208,247,294,323,375,360,429,360,378
,,91800,92034,90671,90791,90483,94032,93295,93307,96743,92110,95161,95202,94710,97008,91844,93955,94133,93326,93271,94726
