Deaths by sex, month and year,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sex,month,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
total,January,6611,6645,6828,7028,6748,6876,6941,6982,8160,7476,8154,7026,7944,7800,8106,7713,7928,7954,8117,8471
total,February,6661,5607,6002,6189,6201,6033,6526,6118,7458,7088,6232,6060,6579,6953,6772,7795,7973,6807,7748,7006
total,March,7436,6127,6858,7317,6641,7840,6894,6900,7089,7313,6660,6745,6946,6858,7658,8063,9598,7579,8211,7839
total,April,6097,6011,6671,6525,6398,6758,6513,6708,6561,7009,6511,6659,6778,6886,7628,7209,7577,7753,6954,7733
total,May,6032,6232,6531,6230,6261,6385,6325,6683,6494,6517,6686,6844,6814,6849,7223,6927,7254,7319,7410,7792
total,June,5772,5906,6263,5840,6253,6051,6561,6547,6625,6809,6430,6651,6760,7109,6933,7225,7194,7012,7031,7229
total,July,5769,5888,6273,5973,6434,6199,6466,6567,6506,6874,6319,7014,7440,7233,6905,7264,7070,7104,7265,7136
total,August,5873,5985,6151,6036,6076,6188,6106,6449,6631,6521,6363,6632,6554,6827,6862,7453,7026,6931,7061,7508
total,September,5837,5803,6081,5938,6079,6102,6086,6144,6214,6409,6318,6570,6810,6639,6655,6549,6830,6955,7091,7017
total,October,6123,6124,6189,6323,6362,6234,6235,6737,6889,6628,6621,6913,7140,7025,7039,7102,7148,7252,7145,7417
total,November,6227,6249,6208,6193,6432,6398,6527,6621,6496,6651,6644,6969,6863,7192,6866,7090,7188,7368,7314,7516
total,December,6655,6978,6736,6868,6776,7130,7260,7327,7251,8043,7077,8630,7428,8268,7667,7808,7851,8116,8293,8352
total,Unknown,0,0,0,0,0,0,0,0,102,14,11,4,0,1,2,10,40,52,41,58
,,75093,73555,76791,76460,76661,78194,78440,79783,82476,83352,80026,82717,84056,85640,86316,88208,90677,88202,89681,91074
