Deaths by sex, month and year,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sex,month,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
total,January,7355,7421,7721,6213,6689,6046,6680,7065,7080,7580,6026,9504,6418,6304,6544,7429,6864,7069,6972,6785
total,February,7327,6586,9533,5859,6346,5801,6653,8846,6239,6985,5987,8275,5822,5943,5878,6751,6632,7260,6042,5873
total,March,8378,7262,7292,6303,6991,6466,7074,8407,6974,7693,6755,7436,6747,6865,6505,6737,7378,7711,6710,7209
total,April,7433,6884,6767,6115,6701,6611,6654,6518,6666,6906,6266,6492,6859,6220,6371,6435,7082,6772,6576,7693
total,May,7010,6540,6420,6033,6642,6622,6445,6585,6590,6954,6421,6337,6731,6412,6258,6315,6515,6506,6920,6490
total,June,6251,5824,5538,5647,5929,5938,5663,5983,6191,5923,6166,5879,5919,5665,5731,6405,6398,5880,6087,5937
total,July,5588,5480,5325,5638,5643,6117,5594,5934,5824,5684,5622,5609,5840,5444,5590,5370,5439,5591,5836,5432
total,August,5257,5032,4967,4833,5168,4918,4834,4957,5003,5077,5225,5180,5177,4909,4993,5010,5489,5194,5398,5200
total,September,4965,4906,4874,4827,4985,4849,4870,4986,4870,4933,5215,5199,5065,5016,4903,5142,5179,5141,5125,4929
total,October,5747,5429,5659,5189,5359,5510,5430,5650,5826,5460,5681,5494,5570,5342,5444,5445,5808,5816,5475,5605
total,November,5945,5908,5948,5501,5635,5418,5445,5679,5583,5426,5807,5530,5532,5339,5462,5590,5681,5833,5495,5503
total,December,6872,6264,6299,6266,5913,6622,6002,6609,6421,5917,6619,6186,5779,6148,6242,6184,6371,6619,6057,6220
total,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,78128,73536,76343,68424,72001,70918,71344,77219,73267,74538,71790,77121,71459,69607,69921,72813,74836,75392,72693,72876
