Deaths by sex, month and year,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sex,month,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
total,January,7243,9085,6006,5973,6772,6835,6767,7111,6585,6251,6400,8283,6057,6640,6264,6221,5911,6410,6844,6418
total,February,7525,7233,5782,5283,6166,6209,5888,7761,5673,5633,5922,5871,5705,6057,5896,5539,6052,5463,5934,5540
total,March,7228,6217,6014,5937,6742,6756,7187,7490,5978,6447,6434,6284,5906,6233,7169,6287,6130,6662,6351,5913
total,April,6469,6374,5745,6163,6409,6215,6132,5975,5713,6013,5655,6005,5942,6192,5976,5955,6032,6233,6189,6177
total,May,6258,6350,5474,5565,6275,6422,6018,6039,5782,5974,5989,5735,5753,5873,5766,5765,6075,6119,6085,5967
total,June,5683,5626,5106,5068,5731,5802,5434,5775,5332,5538,5838,5469,5620,5843,5247,5496,5514,5830,5625,5907
total,July,5457,5708,4868,5201,5852,5778,5369,5429,5602,5748,5489,5402,5356,5453,5314,5796,5603,6000,5665,5747
total,August,5029,4833,4724,4922,5198,5366,5120,5228,5059,5339,5272,5272,5265,5299,5183,5239,5426,5490,5437,5509
total,September,5199,4732,4514,4834,5302,5258,5080,5023,5356,5136,5352,4967,5302,5236,5194,5158,5624,5708,5383,5489
total,October,5311,5039,5051,5271,5728,5597,5474,5655,5560,5652,5602,5334,5598,5339,5627,5512,5919,6148,5688,5929
total,November,5469,5274,5050,5721,5916,5372,5831,5916,5285,5616,5760,5413,5491,5442,5390,5430,5796,6349,5596,5916
total,December,5877,5439,5407,6167,6193,6291,6335,6177,5768,6190,6583,5764,6275,5946,6004,6236,6123,6720,6268,6377
total,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,72748,71910,63741,66105,72284,71901,70635,73579,67693,69537,70296,69799,68270,69553,69030,68634,70205,73132,71065,70889
