"Deaths by sex, month and year"

"sex","month","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979"
"men","January",3432,3553,3557,3793,3561,3732,3720,3744,4305,3972,4326,3811,4298,4285,4408,4184,4364,4350,4374,4701
"men","February",3488,2890,3167,3258,3323,3239,3527,3256,3863,3881,3319,3356,3568,3833,3704,4345,4257,3753,4187,3766
"men","March",3812,3242,3649,3905,3496,4166,3667,3681,3750,3895,3574,3677,3816,3719,4245,4384,5132,4183,4481,4314
"men","April",3156,3080,3481,3412,3442,3616,3503,3629,3474,3703,3435,3609,3740,3694,4175,3879,4084,4239,3833,4205
"men","May",3154,3227,3449,3269,3303,3394,3429,3573,3534,3536,3590,3780,3739,3705,3981,3797,4033,4064,4037,4259
"men","June",3018,3123,3318,3181,3391,3243,3512,3489,3563,3689,3507,3666,3728,3937,3751,3883,3951,3919,3861,3979
"men","July",3139,3193,3407,3171,3464,3369,3528,3563,3532,3718,3523,3852,4088,3986,3860,4039,3884,3967,3978,3892
"men","August",3169,3240,3329,3173,3294,3366,3287,3525,3617,3496,3554,3759,3595,3811,3778,4055,3876,3915,3971,4109
"men","September",3079,3104,3260,3238,3290,3285,3295,3384,3424,3478,3484,3670,3821,3691,3679,3567,3748,3776,3972,3888
"men","October",3212,3209,3396,3396,3447,3408,3374,3648,3683,3617,3610,3842,3911,3959,3956,3947,4022,3968,4000,4122
"men","November",3279,3271,3308,3273,3412,3435,3536,3567,3530,3625,3637,3813,3757,4008,3773,3977,3954,4097,4049,4138
"men","December",3573,3619,3585,3736,3696,3778,3925,4052,3886,4429,3849,4710,3949,4498,4221,4262,4295,4395,4498,4536
"men","Unknown",0,0,0,0,0,0,0,0,44,9,9,0,0,1,1,8,33,38,29,44
"women","January",3179,3092,3271,3235,3187,3144,3221,3238,3855,3504,3828,3215,3646,3515,3698,3529,3564,3604,3743,3770
"women","February",3173,2717,2835,2931,2878,2794,2999,2862,3595,3207,2913,2704,3011,3120,3068,3450,3716,3054,3561,3240
"women","March",3624,2885,3209,3412,3145,3674,3227,3219,3339,3418,3086,3068,3130,3139,3413,3679,4466,3396,3730,3525
"women","April",2941,2931,3190,3113,2956,3142,3010,3079,3087,3306,3076,3050,3038,3192,3453,3330,3493,3514,3121,3528
"women","May",2878,3005,3082,2961,2958,2991,2896,3110,2960,2981,3096,3064,3075,3144,3242,3130,3221,3255,3373,3533
"women","June",2754,2783,2945,2659,2862,2808,3049,3058,3062,3120,2923,2985,3032,3172,3182,3342,3243,3093,3170,3250
"women","July",2630,2695,2866,2802,2970,2830,2938,3004,2974,3156,2796,3162,3352,3247,3045,3225,3186,3137,3287,3244
"women","August",2704,2745,2822,2863,2782,2822,2819,2924,3014,3025,2809,2873,2959,3016,3084,3398,3150,3016,3090,3399
"women","September",2758,2699,2821,2700,2789,2817,2791,2760,2790,2931,2834,2900,2989,2948,2976,2982,3082,3179,3119,3129
"women","October",2911,2915,2793,2927,2915,2826,2861,3089,3206,3011,3011,3071,3229,3066,3083,3155,3126,3284,3145,3295
"women","November",2948,2978,2900,2920,3020,2963,2991,3054,2966,3026,3007,3156,3106,3184,3093,3113,3234,3271,3265,3378
"women","December",3082,3359,3151,3132,3080,3352,3335,3275,3365,3614,3228,3920,3479,3770,3446,3546,3556,3721,3795,3816
"women","Unknown",0,0,0,0,0,0,0,0,58,5,2,4,0,0,1,2,7,14,12,14
"total","January",6611,6645,6828,7028,6748,6876,6941,6982,8160,7476,8154,7026,7944,7800,8106,7713,7928,7954,8117,8471
"total","February",6661,5607,6002,6189,6201,6033,6526,6118,7458,7088,6232,6060,6579,6953,6772,7795,7973,6807,7748,7006
"total","March",7436,6127,6858,7317,6641,7840,6894,6900,7089,7313,6660,6745,6946,6858,7658,8063,9598,7579,8211,7839
"total","April",6097,6011,6671,6525,6398,6758,6513,6708,6561,7009,6511,6659,6778,6886,7628,7209,7577,7753,6954,7733
"total","May",6032,6232,6531,6230,6261,6385,6325,6683,6494,6517,6686,6844,6814,6849,7223,6927,7254,7319,7410,7792
"total","June",5772,5906,6263,5840,6253,6051,6561,6547,6625,6809,6430,6651,6760,7109,6933,7225,7194,7012,7031,7229
"total","July",5769,5888,6273,5973,6434,6199,6466,6567,6506,6874,6319,7014,7440,7233,6905,7264,7070,7104,7265,7136
"total","August",5873,5985,6151,6036,6076,6188,6106,6449,6631,6521,6363,6632,6554,6827,6862,7453,7026,6931,7061,7508
"total","September",5837,5803,6081,5938,6079,6102,6086,6144,6214,6409,6318,6570,6810,6639,6655,6549,6830,6955,7091,7017
"total","October",6123,6124,6189,6323,6362,6234,6235,6737,6889,6628,6621,6913,7140,7025,7039,7102,7148,7252,7145,7417
"total","November",6227,6249,6208,6193,6432,6398,6527,6621,6496,6651,6644,6969,6863,7192,6866,7090,7188,7368,7314,7516
"total","December",6655,6978,6736,6868,6776,7130,7260,7327,7251,8043,7077,8630,7428,8268,7667,7808,7851,8116,8293,8352
"total","Unknown",0,0,0,0,0,0,0,0,102,14,11,4,0,1,2,10,40,52,41,58
