"Deaths by age, sex and time"

" "," ","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Age, total"
" ","Men",28340,27768,29249,27524,28687,29709,30193,30364,29482,30321,30101,30533,30254,30222,30308,30449,31170,30085,30542,31273,30536,31267,30388,29526,28989,28806,28271,28411,28321,28146,27497,26805,27197,27045,26851,26937,26762,25939,25911,26111,25694,26283,26416,26870,27992,27455,27995,29169,30369
" ","Women",23297,23127,24752,22961,24177,24945,25746,25995,25886,26835,27008,27845,27846,27914,28676,28948,29756,29496,30279,31536,30563,31860,30655,30372,29464,30373,29727,29944,30289,29428,28309,28157,28280,28559,27740,27935,27606,26577,26414,26360,25646,26272,26408,26391,27240,26503,26650,27983,29066
" ","Subtotal",51637,50895,54001,50485,52864,54654,55939,56359,55368,57156,57109,58378,58100,58136,58984,59397,60926,59581,60821,62809,61099,63127,61043,59898,58453,59179,57998,58355,58610,57574,55806,54962,55477,55604,54591,54872,54368,52516,52325,52471,51340,52555,52824,53261,55232,53958,54645,57152,59435

"Calculated value: Subtotal  "
"  Sum (value no. 1 + 2) for the variable sex. "

